Region,Date,Time,Location
Region 12,7/14/2023,7am-7pm,Polk County Courthouse Rotunda
Region 11,7/14/2023,8am-8pm,Monroe County Courthouse
Region 10,7/14/2023,7:30am-7pm,Johnson County Courthouse
Region 9,7/14/2023,6:45am-7pm,Jefferson County Courthouse
Region 8,7/14/2023,7am-7pm,Wayne County Courthouse
Region 7,7/14/2023,7:30am-7pm,Montgomery County Courthouse
Region 6,7/14/2023,6:45am-7pm,Dubuque County Courhouse
Region 5,7/14/2023,7am-7pm,Story County Courhouse 
Region 4,7/14/2023,7am-7pm,Carroll County Courthouse
Region 3,7/14/2023,7am-7pm,Chickasaw County Courthouse
Region 2,7/14/2023,8am-8pm,Humbolt County Courtouse
Region 1,7/14/2023,8am-8pm,Sioux County Courthouse
